t,Qin,Qet,hpEND,Qpf,Qover,Qfs,Qet_1,Qhc,Qpipe,Qet_2,teta_usz,teta_sz,Qrain,Qinfp,Qinfsz,hp,s,husz,hsz,nsz,nusz,hszEST
77,0.0,0.0,0.09431230516121875,0.00011571538585906631,0,0.00011482113718683264,0.0,0.0,0.00011482113718683262,0.0,0.3428143089780153,0.4,0,0,0.0,0.09894092059558139,0.9739042868693615,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.01148211371868326
78,0.0,0.0,0.08971945966693284,0.00011482113735714744,0,0.00011393379948760537,0.0,0.0,0.00011393379948760537,0.0,0.34288529600757867,0.4,0,0,0.0,0.09431230516121875,0.9741059545669847,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.011393379948760538
79,0.0,0.0,0.08516210768262679,0.00011393379960765141,0,0.00011305331911940258,0.0,0.0,0.00011305331911940258,0.0,0.34295573444663857,0.4,0,0,0.0,0.08971945966693284,0.9743060637688594,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.011305331911940256
80,0.0,0.0,0.08063997491445545,0.00011305331920428348,0,0.00011217964309326904,0.0,0.0,0.00011217964309326904,0.0,0.34302562853551977,0.4,0,0,0.0,0.08516210768262679,0.9745046265213629,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.011217964309326903
81,0.0,0.0,0.07615278918831653,0.00011217964315347278,0,0.0001113127188283505,0.0,0.0,0.00011131271882835049,0.0,0.34309498248152953,0.4,0,0,0.0,0.08063997491445545,0.9747016547770725,0.5,2.106994456295072e-18,0.4,0.35200000000000004,0.01113127188283505
82,0.0,0.0,0.07170028043346922,0.00011131271887118274,0,0.00011045249414917979,0.0,0.0,0.00011045249414917979,0.0,0.3431638004592898,0.4,0,0,0.0,0.07615278918831653,0.9748971603957095,0.5,2.106994456295072e-18,0.4,0.35200000000000004,0.01104524941491798
83,0.0,0.0,0.06728218066627938,0.00011045249417974624,0,0.00010959891728284615,0.0,0.0,0.00010959891728284619,0.0,0.3432320866110418,0.4,0,0,0.0,0.07170028043346922,0.9750911551450051,0.5,-1.9587636905255695e-18,0.4,0.35200000000000004,0.010959891728284616
84,0.0,0.0,0.06289822397409037,0.00010959891730472516,0,0.00010875193685608696,0.0,0.0,0.00010875193685608696,0.0,0.34329984504693284,0.4,0,0,0.0,0.06728218066627938,0.9752836507015137,0.5,-1.9587636905255695e-18,0.4,0.35200000000000004,0.010875193685608695
85,0.0,0.0,0.0585481464992186,0.00010875193687179426,0,0.00010791150189233895,0.0,0.0,0.00010791150189233892,0.0,0.34336707984528925,0.4,0,0,0.0,0.06289822397409037,0.9754746586513898,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.010791150189233892
86,0.0,0.0,0.05423168642307264,0.00010791150190364902,0,0.00010707756180877016,0.0,0.0,0.00010707756180877016,0.0,0.3434337950528796,0.4,0,0,0.0,0.0585481464992186,0.9756641904911351,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.010707756180877015
87,0.0,0.0,0.049948583950395135,0.00010707756181693762,0,0.00010625006641330126,0.0,0.0,0.00010625006641330126,0.0,0.34349999468517045,0.4,0,0,0.0,0.05423168642307264,0.9758522576283251,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.010625006641330125
88,0.0,0.0,0.045698581293626486,0.00010625006641921633,0,0.00010542896590163226,0.0,0.0,0.00010542896590163224,0.0,0.34356568272657717,0.4,0,0,0.0,0.049948583950395135,0.9760388713823215,0.5,2.106994456295072e-18,0.4,0.35200000000000004,0.010542896590163225
89,0.0,0.0,0.04148142265738934,0.00010542896590592863,0,0.00010461421085427843,0.0,0.0,0.00010461421085427845,0.0,0.3436308631307092,0.4,0,0,0.0,0.045698581293626486,0.9762240429849691,0.5,-6.03510974918689e-19,0.4,0.35200000000000004,0.010461421085427844
90,0.0,0.0,0.037296854223093034,0.0001046142108574076,0,0.00010380575223361581,0.0,0.0,0.00010380575223361581,0.0,0.3436955398206126,0.4,0,0,0.0,0.04148142265738934,0.9764077835812855,0.5,-6.03510974918689e-19,0.4,0.35200000000000004,0.01038057522336158
91,0.0,0.0,0.03314462413365697,0.00010380575223590157,0,0.00010300354138094859,0.0,0.0,0.00010300354138094858,0.0,0.34375971668900884,0.4,0,0,0.0,0.037296854223093034,0.9765901042301386,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.010300354138094858
92,0.0,0.0,0.02902448247835207,0.0001030035413826225,0,0.0001022075300135883,0.0,0.0,0.00010220753001358828,0.0,0.3438233975985316,0.4,0,0,0.0,0.03314462413365697,0.9767710159049192,0.5,2.106994456295072e-18,0.4,0.35200000000000004,0.010220753001358827
